review_month,issue_category,review_count,previous_month_count,growth_count,growth_rate_percent
2013-03,General mixed feedback,1,,,
2013-04,General mixed feedback,1,1.0,0.0,0.0
2013-07,General mixed feedback,2,1.0,1.0,100.0
2013-10,General mixed feedback,1,2.0,-1.0,-50.0
2013-12,General mixed feedback,2,1.0,1.0,100.0
2014-04,General mixed feedback,1,2.0,-1.0,-50.0
2014-06,General mixed feedback,2,1.0,1.0,100.0
2014-07,General mixed feedback,1,2.0,-1.0,-50.0
2014-08,General mixed feedback,2,1.0,1.0,100.0
2014-09,General mixed feedback,1,2.0,-1.0,-50.0
2014-10,General mixed feedback,2,1.0,1.0,100.0
2014-11,General mixed feedback,2,2.0,0.0,0.0
2015-01,General mixed feedback,3,2.0,1.0,50.0
2015-02,General mixed feedback,3,3.0,0.0,0.0
2015-03,General mixed feedback,3,3.0,0.0,0.0
2015-04,General mixed feedback,1,3.0,-2.0,-66.66666666666666
2015-05,General mixed feedback,1,1.0,0.0,0.0
2015-06,General mixed feedback,1,1.0,0.0,0.0
2015-08,General mixed feedback,4,1.0,3.0,300.0
2015-09,General mixed feedback,1,4.0,-3.0,-75.0
2015-10,General mixed feedback,3,1.0,2.0,200.0
2015-11,General mixed feedback,7,3.0,4.0,133.33333333333331
2015-12,General mixed feedback,4,7.0,-3.0,-42.857142857142854
2016-01,General mixed feedback,4,4.0,0.0,0.0
2016-02,General mixed feedback,1,4.0,-3.0,-75.0
2016-03,General mixed feedback,3,1.0,2.0,200.0
2016-04,General mixed feedback,6,3.0,3.0,100.0
2016-05,General mixed feedback,3,6.0,-3.0,-50.0
2016-06,General mixed feedback,4,3.0,1.0,33.33333333333333
2016-07,General mixed feedback,6,4.0,2.0,50.0
2016-08,General mixed feedback,5,6.0,-1.0,-16.666666666666664
2016-09,General mixed feedback,6,5.0,1.0,20.0
2016-10,General mixed feedback,2,6.0,-4.0,-66.66666666666666
2016-11,General mixed feedback,4,2.0,2.0,100.0
2016-12,General mixed feedback,3,4.0,-1.0,-25.0
2017-01,General mixed feedback,7,3.0,4.0,133.33333333333331
2017-02,General mixed feedback,5,7.0,-2.0,-28.57142857142857
2017-03,General mixed feedback,3,5.0,-2.0,-40.0
2017-04,General mixed feedback,8,3.0,5.0,166.66666666666669
2017-05,General mixed feedback,2,8.0,-6.0,-75.0
2017-06,General mixed feedback,4,2.0,2.0,100.0
2017-07,General mixed feedback,8,4.0,4.0,100.0
2017-08,General mixed feedback,5,8.0,-3.0,-37.5
2017-09,General mixed feedback,4,5.0,-1.0,-20.0
2017-10,General mixed feedback,3,4.0,-1.0,-25.0
2017-11,General mixed feedback,3,3.0,0.0,0.0
2017-12,General mixed feedback,3,3.0,0.0,0.0
2018-01,General mixed feedback,7,3.0,4.0,133.33333333333331
2018-02,General mixed feedback,4,7.0,-3.0,-42.857142857142854
2018-03,General mixed feedback,6,4.0,2.0,50.0
2018-04,General mixed feedback,4,6.0,-2.0,-33.33333333333333
2018-05,General mixed feedback,3,4.0,-1.0,-25.0
2018-06,General mixed feedback,4,3.0,1.0,33.33333333333333
2018-07,General mixed feedback,12,4.0,8.0,200.0
2018-08,General mixed feedback,4,12.0,-8.0,-66.66666666666666
2018-09,General mixed feedback,3,4.0,-1.0,-25.0
2018-10,General mixed feedback,7,3.0,4.0,133.33333333333331
2018-11,General mixed feedback,3,7.0,-4.0,-57.14285714285714
2018-12,General mixed feedback,4,3.0,1.0,33.33333333333333
2019-01,General mixed feedback,5,4.0,1.0,25.0
2019-03,General mixed feedback,2,5.0,-3.0,-60.0
2019-04,General mixed feedback,4,2.0,2.0,100.0
2019-05,General mixed feedback,7,4.0,3.0,75.0
2019-06,General mixed feedback,3,7.0,-4.0,-57.14285714285714
2019-07,General mixed feedback,6,3.0,3.0,100.0
2019-08,General mixed feedback,7,6.0,1.0,16.666666666666664
2019-09,General mixed feedback,3,7.0,-4.0,-57.14285714285714
2019-11,General mixed feedback,3,3.0,0.0,0.0
2019-12,General mixed feedback,8,3.0,5.0,166.66666666666669
2020-01,General mixed feedback,8,8.0,0.0,0.0
2020-02,General mixed feedback,3,8.0,-5.0,-62.5
2020-03,General mixed feedback,2,3.0,-1.0,-33.33333333333333
2020-04,General mixed feedback,1,2.0,-1.0,-50.0
2020-05,General mixed feedback,4,1.0,3.0,300.0
2020-06,General mixed feedback,9,4.0,5.0,125.0
2020-07,General mixed feedback,5,9.0,-4.0,-44.44444444444444
2020-08,General mixed feedback,6,5.0,1.0,20.0
2020-09,General mixed feedback,3,6.0,-3.0,-50.0
2020-10,General mixed feedback,6,3.0,3.0,100.0
2020-11,General mixed feedback,9,6.0,3.0,50.0
2020-12,General mixed feedback,8,9.0,-1.0,-11.11111111111111
2021-01,General mixed feedback,5,8.0,-3.0,-37.5
2021-02,General mixed feedback,3,5.0,-2.0,-40.0
2021-03,General mixed feedback,8,3.0,5.0,166.66666666666669
2021-04,General mixed feedback,10,8.0,2.0,25.0
2021-05,General mixed feedback,4,10.0,-6.0,-60.0
2021-06,General mixed feedback,7,4.0,3.0,75.0
2021-07,General mixed feedback,6,7.0,-1.0,-14.285714285714285
2021-08,General mixed feedback,3,6.0,-3.0,-50.0
2021-09,General mixed feedback,3,3.0,0.0,0.0
2021-10,General mixed feedback,3,3.0,0.0,0.0
2021-11,General mixed feedback,1,3.0,-2.0,-66.66666666666666
2021-12,General mixed feedback,5,1.0,4.0,400.0
2022-01,General mixed feedback,7,5.0,2.0,40.0
2022-02,General mixed feedback,3,7.0,-4.0,-57.14285714285714
2022-03,General mixed feedback,2,3.0,-1.0,-33.33333333333333
2022-04,General mixed feedback,2,2.0,0.0,0.0
2022-05,General mixed feedback,3,2.0,1.0,50.0
2022-06,General mixed feedback,4,3.0,1.0,33.33333333333333
2022-08,General mixed feedback,1,4.0,-3.0,-75.0
2022-09,General mixed feedback,3,1.0,2.0,200.0
2022-10,General mixed feedback,2,3.0,-1.0,-33.33333333333333
2022-11,General mixed feedback,3,2.0,1.0,50.0
2022-12,General mixed feedback,1,3.0,-2.0,-66.66666666666666
2023-01,General mixed feedback,1,1.0,0.0,0.0
2023-02,General mixed feedback,2,1.0,1.0,100.0
