product_id,total_reviews,avg_rating,high_risk_reviews,high_risk_rate,avg_risk_score,total_helpful_votes,main_issue,recommended_action
B08TDWL1B3,3,1.0,3,100.0,88.66666666666667,4,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B01NAYZICQ,3,1.6666666666666667,3,100.0,86.33333333333333,0,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B07QS4BG2B,3,1.0,3,100.0,84.33333333333333,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B075L6R3TZ,4,1.5,4,100.0,83.5,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07WDJB6BH,5,1.6,4,80.0,80.4,3,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07LD4RN1Y,3,2.0,2,66.66666666666666,78.0,0,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B07MMMKW9W,4,2.0,3,75.0,76.5,1,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B01F7Z1EC0,3,2.0,2,66.66666666666666,75.66666666666667,1,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B07VG2W8TT,4,1.75,3,75.0,74.5,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01HOWE386,3,2.6666666666666665,2,66.66666666666666,74.0,14,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B00RNFREKO,5,2.0,4,80.0,74.0,6,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B01N1G4YNL,4,2.5,2,50.0,73.75,5,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B004BC62MI,3,2.3333333333333335,2,66.66666666666666,73.66666666666667,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B00ZS8F73Y,3,2.6666666666666665,2,66.66666666666666,73.0,26,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B08GKL32C9,3,2.3333333333333335,1,33.33333333333333,72.66666666666667,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B074CQC2NG,4,2.75,2,50.0,72.5,8,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B01M9IMSPO,3,2.3333333333333335,2,66.66666666666666,72.0,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07M5HB65T,3,2.6666666666666665,1,33.33333333333333,72.0,3,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B0756FT3SB,3,2.0,2,66.66666666666666,72.0,3,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01GGEVW14,3,1.6666666666666667,2,66.66666666666666,71.66666666666667,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B001TKE47A,3,2.6666666666666665,2,66.66666666666666,71.66666666666667,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
