review_month,issue_category,review_count,previous_month_count,growth_count,growth_rate_percent
2020-07,Price or value issue,20,6.0,14.0,233.33333333333334
2019-07,Price or value issue,20,6.0,14.0,233.33333333333334
2018-05,Scent or fragrance issue,23,7.0,16.0,228.57142857142856
2021-01,Skin reaction or irritation,16,5.0,11.0,220.00000000000003
2021-12,Size or quantity issue,15,5.0,10.0,200.0
2015-12,Scent or fragrance issue,14,5.0,9.0,180.0
2019-01,Scent or fragrance issue,21,8.0,13.0,162.5
2019-09,Skin reaction or irritation,13,5.0,8.0,160.0
2018-01,Product quality or effectiveness,15,6.0,9.0,150.0
2020-06,Skin reaction or irritation,12,5.0,7.0,140.0
2015-01,Texture or feel issue,12,5.0,7.0,140.0
2021-07,Packaging or delivery issue,12,5.0,7.0,140.0
2017-10,Scent or fragrance issue,14,6.0,8.0,133.33333333333331
2019-08,Product quality or effectiveness,20,9.0,11.0,122.22222222222223
2018-09,Price or value issue,11,5.0,6.0,120.0
2013-12,Positive feedback,11,5.0,6.0,120.0
2016-05,General negative complaint,11,5.0,6.0,120.0
2021-10,General negative complaint,22,10.0,12.0,120.0
2021-06,General negative complaint,24,11.0,13.0,118.18181818181819
2020-10,Skin reaction or irritation,13,6.0,7.0,116.66666666666667
2019-03,Scent or fragrance issue,13,6.0,7.0,116.66666666666667
2017-07,General negative complaint,13,6.0,7.0,116.66666666666667
2018-10,Texture or feel issue,23,11.0,12.0,109.09090909090908
2020-01,Scent or fragrance issue,43,21.0,22.0,104.76190476190477
2022-02,General negative complaint,12,6.0,6.0,100.0
2021-01,Packaging or delivery issue,14,7.0,7.0,100.0
2016-12,General negative complaint,14,7.0,7.0,100.0
2018-03,Packaging or delivery issue,10,5.0,5.0,100.0
2018-07,Size or quantity issue,12,6.0,6.0,100.0
2018-11,Skin reaction or irritation,10,5.0,5.0,100.0
2018-05,Size or quantity issue,12,6.0,6.0,100.0
2016-12,Product quality or effectiveness,14,7.0,7.0,100.0
2021-10,Skin reaction or irritation,10,5.0,5.0,100.0
2020-12,General negative complaint,18,9.0,9.0,100.0
2017-10,General negative complaint,10,5.0,5.0,100.0
2017-04,Scent or fragrance issue,17,9.0,8.0,88.88888888888889
2019-12,General negative complaint,15,8.0,7.0,87.5
