issue_category,total_reviews,avg_rating,high_risk_reviews,high_risk_rate,avg_risk_score,total_helpful_votes
General negative complaint,1079,1.437442075996293,1079,100.0,83.1964782205746,960
Product quality or effectiveness,1018,2.1974459724950886,681,66.8958742632613,75.4901768172888,1263
Packaging or delivery issue,518,3.4922779922779923,156,30.115830115830118,57.42084942084942,509
Skin reaction or irritation,491,3.714867617107943,126,25.661914460285136,55.47657841140529,702
Size or quantity issue,879,3.7861205915813425,170,19.340159271899886,44.83731513083049,842
Texture or feel issue,2657,3.9081671057583742,461,17.350395182536698,43.70455400828001,3532
Price or value issue,1016,3.923228346456693,166,16.338582677165352,42.400590551181104,1116
Scent or fragrance issue,1544,3.9773316062176165,264,17.098445595854923,42.240284974093264,1545
General mixed feedback,417,3.0,0,0.0,40.333333333333336,184
Positive feedback,10343,4.758483998839795,0,0.0,18.489799864642755,9210
